Node_A,Node_B,Total_Weight,Source_Breakdown
constituent groups,dhisattvo noble,1,Prajnaparamita-:1
ROOT_ACCESS,varo dhisattvo,1,Prajnaparamita-:1
vara gambh,varo dhisattvo,1,Prajnaparamita-:1
panca -skandh,varo dhisattvo,1,Prajnaparamita-:1
five constituent,varo dhisattvo,1,Prajnaparamita-:1
praj ramit,varo dhisattvo,1,Prajnaparamita-:1
cary caram,varo dhisattvo,1,Prajnaparamita-:1
varo dhisattvo,yati sma,1,Prajnaparamita-:1
beheld five,varo dhisattvo,1,Prajnaparamita-:1
fortunate noble,varo dhisattvo,1,Prajnaparamita-:1
deep practice,varo dhisattvo,1,Prajnaparamita-:1
MATTER_CONCEPT,varo dhisattvo,1,Prajnaparamita-:1
avalokite vara,varo dhisattvo,1,Prajnaparamita-:1
-to-be avalokite,varo dhisattvo,1,Prajnaparamita-:1
dwelling deep,varo dhisattvo,1,Prajnaparamita-:1
-skandh beheld,varo dhisattvo,1,Prajnaparamita-:1
-avalokite varo,varo dhisattvo,1,Prajnaparamita-:1
caram dwelling,varo dhisattvo,1,Prajnaparamita-:1
rya -avalokite,varo dhisattvo,1,Prajnaparamita-:1
gambh praj,varo dhisattvo,1,Prajnaparamita-:1
sma panca,varo dhisattvo,1,Prajnaparamita-:1
dhisattvo noble,varo dhisattvo,1,Prajnaparamita-:1
ROOT_ACCESS,vara gambh,1,Prajnaparamita-:1
ROOT_ACCESS,panca -skandh,1,Prajnaparamita-:1
ROOT_ACCESS,five constituent,1,Prajnaparamita-:1
ROOT_ACCESS,cary caram,1,Prajnaparamita-:1
ROOT_ACCESS,yati sma,1,Prajnaparamita-:1
ROOT_ACCESS,beheld five,1,Prajnaparamita-:1
ROOT_ACCESS,fortunate noble,1,Prajnaparamita-:1
ROOT_ACCESS,deep practice,1,Prajnaparamita-:1
MATTER_CONCEPT,ROOT_ACCESS,28,"Prajnaparamita-:3, Tao Te Ching Pr:22, short)King K:3"
ROOT_ACCESS,avalokite vara,1,Prajnaparamita-:1
-to-be avalokite,ROOT_ACCESS,1,Prajnaparamita-:1
ROOT_ACCESS,dwelling deep,1,Prajnaparamita-:1
-skandh beheld,ROOT_ACCESS,1,Prajnaparamita-:1
-avalokite varo,ROOT_ACCESS,1,Prajnaparamita-:1
ROOT_ACCESS,caram dwelling,1,Prajnaparamita-:1
ROOT_ACCESS,rya -avalokite,1,Prajnaparamita-:1
ROOT_ACCESS,gambh praj,1,Prajnaparamita-:1
ROOT_ACCESS,sma panca,1,Prajnaparamita-:1
ROOT_ACCESS,dhisattvo noble,1,Prajnaparamita-:1
panca -skandh,vara gambh,1,Prajnaparamita-:1
five constituent,vara gambh,1,Prajnaparamita-:1
praj ramit,vara gambh,1,Prajnaparamita-:1
cary caram,vara gambh,1,Prajnaparamita-:1
vara gambh,yati sma,1,Prajnaparamita-:1
beheld five,vara gambh,1,Prajnaparamita-:1
fortunate noble,vara gambh,1,Prajnaparamita-:1
deep practice,vara gambh,1,Prajnaparamita-:1
MATTER_CONCEPT,vara gambh,1,Prajnaparamita-:1
avalokite vara,vara gambh,1,Prajnaparamita-:1
-to-be avalokite,vara gambh,1,Prajnaparamita-:1
dwelling deep,vara gambh,1,Prajnaparamita-:1
-skandh beheld,vara gambh,1,Prajnaparamita-:1
-avalokite varo,vara gambh,1,Prajnaparamita-:1
caram dwelling,vara gambh,1,Prajnaparamita-:1
rya -avalokite,vara gambh,1,Prajnaparamita-:1
gambh praj,vara gambh,1,Prajnaparamita-:1
sma panca,vara gambh,1,Prajnaparamita-:1
dhisattvo noble,vara gambh,1,Prajnaparamita-:1
five constituent,panca -skandh,1,Prajnaparamita-:1
panca -skandh,praj ramit,1,Prajnaparamita-:1
cary caram,panca -skandh,1,Prajnaparamita-:1
panca -skandh,yati sma,1,Prajnaparamita-:1
beheld five,panca -skandh,1,Prajnaparamita-:1
fortunate noble,panca -skandh,1,Prajnaparamita-:1
deep practice,panca -skandh,1,Prajnaparamita-:1
MATTER_CONCEPT,panca -skandh,1,Prajnaparamita-:1
avalokite vara,panca -skandh,1,Prajnaparamita-:1
-to-be avalokite,panca -skandh,1,Prajnaparamita-:1
dwelling deep,panca -skandh,1,Prajnaparamita-:1
